Epoch,Test_Loss,Correctness
1,0.48026731610298157,0.8292
2,0.480124294757843,0.8294
3,0.4799814820289612,0.8294
4,0.4798390865325928,0.8296
5,0.4796970784664154,0.8296
6,0.4795556962490082,0.8296
7,0.47941458225250244,0.8297
8,0.47927358746528625,0.8298
9,0.47913309931755066,0.8298
10,0.47899311780929565,0.8299
11,0.4788534343242645,0.8299
12,0.47871363162994385,0.8298
13,0.4785749316215515,0.83
14,0.4784364104270935,0.8302
15,0.4782979488372803,0.8302
16,0.4781598448753357,0.8303
17,0.47802218794822693,0.8303
18,0.47788503766059875,0.8304
19,0.4777483344078064,0.8304
20,0.4776113033294678,0.8304
21,0.47747504711151123,0.8306
22,0.47733941674232483,0.8306
23,0.47720369696617126,0.8306
24,0.4770685136318207,0.8306
25,0.4769340455532074,0.8305
26,0.47679975628852844,0.8305
27,0.4766654372215271,0.8306
28,0.4765315651893616,0.8307
29,0.4763987958431244,0.8308
30,0.47626596689224243,0.831
31,0.4761333465576172,0.831
32,0.47600090503692627,0.8312
33,0.47586914896965027,0.8315
34,0.47573769092559814,0.8315
35,0.4756065905094147,0.8318
36,0.4754754304885864,0.8319
37,0.4753444790840149,0.8319
38,0.4752137362957001,0.8321
39,0.475083589553833,0.8323
40,0.47495371103286743,0.8322
41,0.47482427954673767,0.8322
42,0.47469499707221985,0.8323
43,0.4745662808418274,0.8323
44,0.4744379222393036,0.8323
45,0.4743101894855499,0.8323
46,0.4741823673248291,0.8323
47,0.4740544855594635,0.8324
48,0.47392737865448,0.8326
49,0.4737998843193054,0.8328
50,0.47367268800735474,0.8328
51,0.47354570031166077,0.8327
52,0.4734190106391907,0.8327
53,0.4732930064201355,0.8327
54,0.47316792607307434,0.8327
55,0.47304314374923706,0.8327
56,0.4729189872741699,0.8329
57,0.47279486060142517,0.8329
58,0.47267067432403564,0.833
59,0.47254669666290283,0.833
60,0.4724224805831909,0.833
61,0.47229912877082825,0.8331
62,0.4721752405166626,0.8332
63,0.4720520079135895,0.8332
64,0.47192877531051636,0.8332
65,0.47180619835853577,0.8334
66,0.471684068441391,0.8334
67,0.47156164050102234,0.8335
68,0.47143930196762085,0.8335
69,0.4713168144226074,0.8336
70,0.47119447588920593,0.8338
71,0.47107234597206116,0.8338
72,0.4709506928920746,0.8338
73,0.4708298146724701,0.8338
74,0.4707092046737671,0.8337
75,0.4705888628959656,0.8337
76,0.4704684913158417,0.8337
77,0.4703482389450073,0.8337
78,0.4702281057834625,0.8336
79,0.4701079726219177,0.8338
80,0.4699884355068207,0.8337
81,0.4698687195777893,0.8337
82,0.4697495996952057,0.8336
83,0.46963071823120117,0.8336
84,0.4695119857788086,0.8336
85,0.4693933427333832,0.8336
86,0.4692748785018921,0.8336
87,0.4691574275493622,0.8337
88,0.4690397381782532,0.8338
89,0.4689226746559143,0.8337
90,0.46880555152893066,0.8339
91,0.4686889052391052,0.8339
92,0.4685724079608917,0.8339
93,0.4684560298919678,0.834
94,0.4683396518230438,0.834
95,0.46822401881217957,0.8342
96,0.46810850501060486,0.8344
97,0.4679931700229645,0.8344
98,0.46787819266319275,0.8344
99,0.46776366233825684,0.8344
100,0.4676496386528015,0.8343
101,0.4675355553627014,0.8343
102,0.46742165088653564,0.8343
103,0.46730855107307434,0.8343
104,0.46719542145729065,0.8343
105,0.4670824408531189,0.8344
106,0.4669692814350128,0.8345
107,0.466856449842453,0.8345
108,0.4667436480522156,0.8344
109,0.4666315019130707,0.8346
110,0.4665187895298004,0.8346
111,0.46640604734420776,0.8345
112,0.4662937521934509,0.8346
113,0.46618157625198364,0.8347
114,0.46606993675231934,0.8347
115,0.46595823764801025,0.8347
116,0.4658467769622803,0.8347
117,0.4657357931137085,0.8347
118,0.4656246304512024,0.8348
119,0.46551331877708435,0.8348
120,0.4654025733470917,0.8349
121,0.46529191732406616,0.8349
122,0.46518072485923767,0.835
123,0.465069442987442,0.8351
124,0.4649585485458374,0.8351
125,0.4648473560810089,0.8351
126,0.4647367596626282,0.8351
127,0.4646266996860504,0.8351
128,0.46451669931411743,0.8351
129,0.4644066393375397,0.8351
130,0.46429675817489624,0.8351
131,0.46418702602386475,0.8351
132,0.4640774428844452,0.8352
133,0.46396833658218384,0.8353
134,0.4638593792915344,0.8352
135,0.46375036239624023,0.8353
136,0.4636420011520386,0.8353
137,0.46353429555892944,0.8354
138,0.4634263217449188,0.8354
139,0.46331870555877686,0.8354
140,0.463211327791214,0.8353
141,0.4631039798259735,0.8353
142,0.4629969894886017,0.8354
143,0.4628898799419403,0.8356
144,0.4627833068370819,0.8357
145,0.46267664432525635,0.8359
146,0.46257004141807556,0.8359
147,0.46246424317359924,0.836
148,0.4623587131500244,0.8358
149,0.4622531831264496,0.8359
150,0.46214768290519714,0.836
