Epoch,Train_Loss,Test_Loss,Correctness
1,2.294818878173828,2.2884531021118164,0.1001
2,2.2822396755218506,2.275808334350586,0.1001
3,2.269707202911377,2.2634453773498535,0.1004
4,2.2574613094329834,2.2512781620025635,0.103
5,2.245204210281372,2.2389156818389893,0.1171
6,2.232571840286255,2.2260549068450928,0.1406
7,2.2194221019744873,2.2126801013946533,0.1629
8,2.2057604789733887,2.1987903118133545,0.1814
9,2.1914892196655273,2.18420147895813,0.2044
10,2.1764070987701416,2.168715715408325,0.2297
11,2.160339593887329,2.1521997451782227,0.2515
12,2.143259286880493,2.1346921920776367,0.2734
13,2.125133752822876,2.1160762310028076,0.3021
14,2.105816602706909,2.096207618713379,0.3421
15,2.0851824283599854,2.075002431869507,0.3818
16,2.063187837600708,2.0524542331695557,0.4212
17,2.039799213409424,2.0284841060638428,0.4527
18,2.01491641998291,2.0029757022857666,0.4781
19,1.988431692123413,1.9758111238479614,0.4992
20,1.960235834121704,1.9469257593154907,0.512
21,1.9303460121154785,1.9164024591445923,0.5216
22,1.8988229036331177,1.8842430114746094,0.5295
23,1.8656818866729736,1.8505884408950806,0.5371
24,1.8311864137649536,1.8157304525375366,0.542
25,1.7956078052520752,1.7799277305603027,0.5488
26,1.7592147588729858,1.7434648275375366,0.558
27,1.7223066091537476,1.706660270690918,0.5712
28,1.6852179765701294,1.6698347330093384,0.5785
29,1.6482454538345337,1.6332688331604004,0.5852
30,1.6116479635238647,1.5971944332122803,0.5932
31,1.5756380558013916,1.5618096590042114,0.5986
32,1.540486216545105,1.5274590253829956,0.6017
33,1.5064958333969116,1.4943276643753052,0.6064
34,1.473732590675354,1.4624240398406982,0.608
35,1.4422130584716797,1.431779146194458,0.6106
36,1.4119641780853271,1.402413249015808,0.6152
37,1.3829946517944336,1.3743212223052979,0.6179
38,1.3553071022033691,1.3475006818771362,0.6208
39,1.328890323638916,1.3219362497329712,0.6238
40,1.3037109375,1.297590732574463,0.6261
41,1.2797271013259888,1.274417519569397,0.6284
42,1.2568955421447754,1.252364158630371,0.6304
43,1.2351646423339844,1.2313830852508545,0.632
44,1.2144813537597656,1.2114205360412598,0.6344
45,1.1947938203811646,1.192422866821289,0.6358
46,1.1760483980178833,1.1743404865264893,0.6371
47,1.1582012176513672,1.1571241617202759,0.6381
48,1.141196846961975,1.1407251358032227,0.6397
49,1.124991774559021,1.1250983476638794,0.6417
50,1.1095393896102905,1.11020028591156,0.6431
51,1.0947991609573364,1.0959908962249756,0.6437
52,1.0807327032089233,1.0824304819107056,0.6454
53,1.0672996044158936,1.0694836378097534,0.6467
54,1.0544648170471191,1.0571138858795166,0.6474
55,1.0421948432922363,1.045289397239685,0.6484
56,1.0304574966430664,1.033980369567871,0.6485
57,1.019222378730774,1.0231565237045288,0.6491
58,1.008461356163025,1.0127902030944824,0.6495
59,0.9981484413146973,1.0028550624847412,0.6507
60,0.9882597327232361,0.993330180644989,0.6528
61,0.9787734150886536,0.9841940999031067,0.6541
62,0.9696659445762634,0.9754282236099243,0.6551
63,0.9609187841415405,0.9670106172561646,0.6562
64,0.9525130987167358,0.9589207768440247,0.6571
65,0.9444299340248108,0.9511438012123108,0.6583
66,0.9366530776023865,0.9436613321304321,0.6595
67,0.929166853427887,0.9364587664604187,0.6601
68,0.9219524264335632,0.92951899766922,0.6612
69,0.9149981737136841,0.9228301048278809,0.6611
70,0.908288836479187,0.9163782000541687,0.6622
71,0.9018117785453796,0.9101497530937195,0.6642
72,0.8955557942390442,0.9041345119476318,0.6654
73,0.8895059823989868,0.8983180522918701,0.6663
74,0.8836492300033569,0.892683744430542,0.6673
75,0.877975583076477,0.8872308135032654,0.6684
76,0.8724894523620605,0.8819596767425537,0.669
77,0.867183268070221,0.8768607378005981,0.6697
78,0.8620447516441345,0.871923565864563,0.6703
79,0.8570636510848999,0.8671367168426514,0.671
80,0.8522308468818665,0.862493634223938,0.6724
81,0.8475397825241089,0.8579845428466797,0.6739
82,0.8429828882217407,0.8536056280136108,0.6746
83,0.8385545611381531,0.849349319934845,0.6754
84,0.8342491984367371,0.8452105522155762,0.6763
85,0.8300597071647644,0.8411839008331299,0.6766
86,0.8259809017181396,0.837263822555542,0.6775
87,0.8220083713531494,0.8334459066390991,0.6786
88,0.81813645362854,0.8297252655029297,0.6797
89,0.814362108707428,0.826099157333374,0.681
90,0.8106815218925476,0.8225622177124023,0.6828
91,0.80708909034729,0.8191103339195251,0.6846
92,0.8035820722579956,0.8157398104667664,0.6864
93,0.8001572489738464,0.8124472498893738,0.6878
94,0.7968102693557739,0.809228777885437,0.6896
95,0.7935363054275513,0.8060811758041382,0.6905
96,0.7903348207473755,0.8030014634132385,0.6924
97,0.7872018218040466,0.799986720085144,0.6933
98,0.7841320633888245,0.7970332503318787,0.6944
99,0.7811246514320374,0.7941388487815857,0.6955
100,0.7781778573989868,0.791301429271698,0.6965
101,0.7752866148948669,0.7885180115699768,0.6979
102,0.7724512219429016,0.7857866883277893,0.6986
103,0.7696671485900879,0.7831052541732788,0.6994
104,0.7669320702552795,0.7804710865020752,0.7006
105,0.7642449736595154,0.7778827548027039,0.7022
106,0.7616045475006104,0.7753387093544006,0.7032
107,0.7590071558952332,0.7728370428085327,0.7053
108,0.756453275680542,0.7703758478164673,0.7067
109,0.7539390921592712,0.7679528594017029,0.7082
110,0.7514646053314209,0.7655678391456604,0.7091
111,0.7490264177322388,0.7632176876068115,0.7102
112,0.7466238141059875,0.7609007358551025,0.7121
113,0.7442556023597717,0.7586168646812439,0.7138
114,0.7419204711914062,0.7563636302947998,0.7149
115,0.7396154999732971,0.7541411519050598,0.7156
116,0.737342357635498,0.7519477605819702,0.7175
117,0.7350972294807434,0.7497817277908325,0.7185
118,0.7328806519508362,0.7476437091827393,0.7198
119,0.73069167137146,0.7455316781997681,0.7209
120,0.728529691696167,0.7434446811676025,0.7225
121,0.7263939380645752,0.741382896900177,0.7233
122,0.7242830991744995,0.7393457293510437,0.7244
123,0.7221966981887817,0.7373309135437012,0.7257
124,0.720133900642395,0.7353381514549255,0.7269
125,0.7180947065353394,0.733366072177887,0.7276
126,0.7160751819610596,0.7314149737358093,0.7282
127,0.7140776515007019,0.7294842004776001,0.7284
128,0.7121002674102783,0.7275724411010742,0.7297
129,0.7101415991783142,0.7256795167922974,0.7308
130,0.7082034945487976,0.7238046526908875,0.7318
131,0.7062819004058838,0.7219474911689758,0.7329
132,0.7043800950050354,0.7201067209243774,0.7335
133,0.7024959325790405,0.71828293800354,0.7336
134,0.7006279230117798,0.7164759635925293,0.7348
135,0.6987758874893188,0.7146844267845154,0.736
136,0.6969414353370667,0.7129080295562744,0.7371
137,0.6951210498809814,0.711147129535675,0.7379
138,0.6933177709579468,0.7094009518623352,0.7389
139,0.6915287971496582,0.7076698541641235,0.7407
140,0.6897549629211426,0.7059522271156311,0.7417
141,0.6879942417144775,0.7042484283447266,0.7423
142,0.6862483620643616,0.7025575637817383,0.7435
143,0.6845158934593201,0.700879693031311,0.7447
144,0.6827974319458008,0.6992151141166687,0.7459
145,0.6810892820358276,0.697563648223877,0.7466
146,0.6793968677520752,0.695924699306488,0.7481
147,0.6777162551879883,0.6942979097366333,0.7491
148,0.6760472655296326,0.6926828026771545,0.7502
149,0.6743918061256409,0.6910797357559204,0.7511
150,0.6727474927902222,0.6894882321357727,0.7514
151,0.6711152791976929,0.6879086494445801,0.752
152,0.6694951057434082,0.6863400936126709,0.753
153,0.6678865551948547,0.6847830414772034,0.7539
154,0.6662876009941101,0.6832361817359924,0.7551
155,0.6647008657455444,0.6817007660865784,0.7557
156,0.6631259322166443,0.6801761984825134,0.756
157,0.661559522151947,0.678661584854126,0.7569
158,0.6600053310394287,0.6771577596664429,0.7579
159,0.6584610342979431,0.675663948059082,0.7585
160,0.6569278240203857,0.6741809248924255,0.7593
161,0.6554044485092163,0.6727083325386047,0.7598
162,0.6538922190666199,0.6712461113929749,0.7604
163,0.6523901224136353,0.6697939038276672,0.7612
164,0.6508967876434326,0.668352484703064,0.7625
165,0.6494154334068298,0.6669208407402039,0.7635
166,0.647942304611206,0.6654990911483765,0.7641
167,0.6464804410934448,0.6640870571136475,0.7649
168,0.6450279355049133,0.6626846790313721,0.7662
169,0.6435851454734802,0.6612910032272339,0.7669
170,0.6421520113945007,0.6599066257476807,0.7678
