Epoch,Test_Loss,Correctness
1,0.48801180720329285,0.8267
2,0.48784440755844116,0.8269
3,0.48767733573913574,0.827
4,0.4875108301639557,0.8272
5,0.4873455762863159,0.8272
6,0.4871803820133209,0.8272
7,0.4870155453681946,0.8273
8,0.48685112595558167,0.8273
9,0.48668763041496277,0.8273
10,0.4865242838859558,0.8274
11,0.4863620698451996,0.8274
12,0.4862002432346344,0.8272
13,0.48603856563568115,0.8273
14,0.48587775230407715,0.8273
15,0.4857170879840851,0.8277
16,0.48555701971054077,0.8277
17,0.48539796471595764,0.828
18,0.4852393567562103,0.8283
19,0.48508110642433167,0.8282
20,0.4849231243133545,0.8282
21,0.48476552963256836,0.8284
22,0.4846084415912628,0.8284
23,0.48445233702659607,0.8284
24,0.4842967092990875,0.8284
25,0.48414167761802673,0.8285
26,0.4839867651462555,0.8286
27,0.4838326871395111,0.8286
28,0.48367875814437866,0.8285
29,0.48352545499801636,0.8285
30,0.4833728075027466,0.8286
31,0.4832199811935425,0.8287
32,0.48306748270988464,0.8287
33,0.48291581869125366,0.8286
34,0.48276466131210327,0.8288
35,0.482614129781723,0.8287
36,0.4824642837047577,0.8287
37,0.48231473565101624,0.8288
38,0.48216530680656433,0.8288
39,0.4820166528224945,0.8288
40,0.48186859488487244,0.8288
41,0.48172158002853394,0.8287
42,0.4815741777420044,0.8287
43,0.48142722249031067,0.8287
44,0.48128074407577515,0.8288
45,0.481134831905365,0.8289
46,0.48098909854888916,0.829
47,0.4808442294597626,0.829
48,0.48069941997528076,0.829
49,0.4805546700954437,0.829
50,0.48041096329689026,0.829
